"","logFC","AveExpr","t","P.Value","adj.P.Val","B","category"
"KLHL13",-488.502512820513,207.338139534884,-12.1115164401112,3.14985295592778e-15,6.22064460266177e-11,1.64908419430491,"DOWN"
"HOXA4",-1048.02538461538,457.33488372093,-10.2810065398389,5.41742348291302e-13,5.09885402599028e-09,1.06273085694021,"DOWN"
"PAR5",-72.4334358974359,36.9958139534884,-10.1593417677112,7.74548689957508e-13,5.09885402599028e-09,1.01715700859872,"DOWN"
"DST",-2434.52076923077,1145.72790697674,-9.5788387344831,4.3764763835819e-12,2.16077580248397e-08,0.786723130164435,"DOWN"
"ANKRD30A",-1245.00861538462,463.953953488372,-9.47036048786072,6.07726679865249e-12,2.40039884013176e-08,0.741180492277986,"DOWN"
"DMD",-1358.51184615385,632.35488372093,-9.20330794039406,1.3721579620056e-11,4.51645793194144e-08,0.625574921482953,"DOWN"
"ABCA5",-711.905128205129,649.860465116279,-8.96908272542836,2.8229438887711e-11,7.96433126562006e-08,0.519979590045162,"DOWN"
"TSHZ2",-1083.43382051282,514.662093023256,-8.80285754681177,4.72874810246575e-11,1.03096636458688e-07,0.442588388255233,"DOWN"
"NTN4",-1762.09843589744,899.85976744186,-8.79064966622592,4.91196264830891e-11,1.03096636458688e-07,0.436822994373308,"DOWN"
"FLJ11292",-1008.65384615385,1202.44186046512,-8.75574113649947,5.47650093476878e-11,1.03096636458688e-07,0.420274625959374,"DOWN"
"STC2",-457.657358974359,264.011860465116,-8.74054327334422,5.74238189804836e-11,1.03096636458688e-07,0.413041227854865,"DOWN"
"PIK3C2G",-246.968333333333,90.296511627907,-8.69125091870395,6.69804212864774e-11,1.1023302833222e-07,0.389459667550544,"DOWN"
"CCL28",-682.692205128205,287.164651162791,-8.63976986684334,7.86863079969649e-11,1.18056381389331e-07,0.364632759555248,"DOWN"
"CBX3",6267.35897435898,7784.88372093023,8.62009100281594,8.36897736316084e-11,1.18056381389331e-07,0.355088797094134,"UP"
"EDN3",-339.551769230769,134.224186046512,-8.57132813451218,9.75203203797477e-11,1.26229142161455e-07,0.331310800081197,"DOWN"
"LOC728264",-3101.64928205128,1270.44325581395,-8.55619320000855,1.02266761587082e-10,1.26229142161455e-07,0.323893212550459,"DOWN"
"C4orf18",-433.709871794872,206.573255813953,-8.47106604637313,1.33667133657976e-10,1.55281895447727e-07,0.28184064684724,"DOWN"
"PDGFA",-5498.11282051282,2851.95348837209,-8.40183424440452,1.66284494109985e-10,1.82441804121005e-07,0.247222142020245,"DOWN"
"KLK14",-110.601025641026,211.144186046512,-8.28236840325844,2.42663472814502e-10,2.52229522348084e-07,0.186594224951045,"DOWN"
"PI15",-1114.82625641026,390.691162790698,-8.12476259928446,4.00445380401829e-10,3.83098597755583e-07,0.10486611207923,"DOWN"
"CBX7",-2784.57948717949,2521.11627906977,-8.11938520818172,4.07365970574066e-10,3.83098597755583e-07,0.10204229324466,"DOWN"
"CORIN",-30.3717948717949,38.2488372093023,-7.94975762651353,7.00410514376361e-10,6.28745784019034e-07,0.0117584471995649,"DOWN"
"ERBB4",-221.937025641026,100.177906976744,-7.89661225229562,8.30501395103026e-10,7.13111828343029e-07,-0.0170126007914808,"DOWN"
"LOC100128979",-892.261025641026,597.8,-7.85288228019896,9.55664545446088e-10,7.8639246283395e-07,-0.0408610209314073,"DOWN"
"ANLN",110.31358974359,87.7460465116279,7.71794526887738,1.47535571138203e-09,1.13383075735897e-06,-0.115448315206455,"UP"
"GRAMD3",-331.015384615385,209.074418604651,-7.71431760231244,1.49271353948723e-09,1.13383075735897e-06,-0.117474430912766,"DOWN"
"HEMK1",-75.6317948717949,57.5720930232558,-7.69325638633825,1.59763546862377e-09,1.16858158777225e-06,-0.129259179568018,"DOWN"
"LOC442245",-293.320153846154,131.704186046512,-7.67062031495076,1.7187126179335e-09,1.2122448389846e-06,-0.141966428032501,"DOWN"
"GSTM2",-749.20517948718,312.852558139535,-7.59669949361852,2.18241541275108e-09,1.48622489608348e-06,-0.183762081463906,"DOWN"
"TUBA1B",29892.5641025641,43986.0465116279,7.54398442322748,2.58840683771997e-09,1.70394822127106e-06,-0.213847741226977,"UP"
"NUSAP1",566.970769230769,480.49023255814,7.50815208673362,2.90705278356065e-09,1.82110836413865e-06,-0.234431452734384,"UP"
"GPRASP1",-227.016846153846,136.77,-7.49472236434521,3.03641737223309e-09,1.82110836413865e-06,-0.242173947448129,"DOWN"
"CX3CR1",-784.112307692308,337.637209302326,-7.49405260850891,3.04301868532966e-09,1.82110836413865e-06,-0.242560472518689,"DOWN"
"AK5",-1264.53253846154,666.229534883721,-7.48209907237383,3.1632984181359e-09,1.83741118999311e-06,-0.249465378254685,"DOWN"
"TUBA1C",756.425641025641,917.046511627907,7.45919381259339,3.40732604564529e-09,1.92260805929854e-06,-0.262730165199089,"UP"
"ARHGAP19",-152.826666666667,109.876744186047,-7.4362441020371,3.67085593832589e-09,2.01377038683328e-06,-0.276065099644201,"DOWN"
"HIST1H2BE",528.387179487179,510.788372093023,7.41227043318516,3.96810342645158e-09,2.09927921623611e-06,-0.290042510695201,"UP"
"C5orf26",-958.071794871795,947.116279069767,-7.4067951326129,4.03932402739238e-09,2.09927921623611e-06,-0.293241598082111,"DOWN"
"DKK3",-553.09358974359,360.197674418605,-7.34081006647473,5.00598510524014e-09,2.52218624012517e-06,-0.331994525668794,"DOWN"
"CMYA5",-69.4865384615385,46.3425581395349,-7.33458168211796,5.10848395387142e-09,2.52218624012517e-06,-0.335671482277913,"DOWN"
"FAM47C",-70.3194871794871,146.786046511628,-7.31164941603441,5.50442745454863e-09,2.6237762818838e-06,-0.349237980623106,"DOWN"
"FAM47E",-370.537948717949,222.26976744186,-7.30746397826427,5.57995867330597e-09,2.6237762818838e-06,-0.351718852266305,"DOWN"
"ZBTB4",-2177.72820512821,2509.11627906977,-7.197413607022,7.98812875673916e-09,3.66878034457771e-06,-0.417483067548941,"DOWN"
"TP63",-654.184487179487,260.638372093023,-7.18955938532752,8.19556238727561e-09,3.67850367241604e-06,-0.422215906956464,"DOWN"
"ASF1B",60.1989743589744,71.9069767441861,7.15387649066492,9.20836269368112e-09,4.04124344083352e-06,-0.443783848409157,"UP"
"SPARCL1",-363.150384615385,193.954651162791,-7.12323275054482,1.0178118657635e-08,4.29650795710707e-06,-0.462392249277506,"DOWN"
"UBE2C",2680.45128205128,2298.6976744186,7.12182318102341,1.02251189419227e-08,4.29650795710707e-06,-0.463250128301015,"UP"
"CYP1A2",-468.579487179487,920.93023255814,-7.10669033903996,1.07436655177902e-08,4.42034688147581e-06,-0.472470766433069,"DOWN"
"FAM13B1",-179.352307692308,171.062790697674,-7.0817048287418,1.1658361896728e-08,4.69879569588737e-06,-0.487737324749753,"DOWN"
"RAI2",-478.509333333333,228.846279069767,-7.05648362929227,1.26611619179062e-08,5.00090573433459e-06,-0.503201654875594,"DOWN"
"OR4D2",-61.6366666666665,156.997674418605,-6.98165886300393,1.61764163833622e-08,6.2640793559808e-06,-0.549398044130696,"DOWN"
"KIF5C",-711.108948717949,292.262093023256,-6.95326432715431,1.77540382104863e-08,6.74277885805565e-06,-0.567053000439807,"DOWN"
"FANK1",-338.562564102564,248.562790697674,-6.94273896713906,1.837735085072e-08,6.80292685342254e-06,-0.573614751805332,"DOWN"
"KIAA1377",-49.6904358974359,23.263023255814,-6.93904389682762,1.86013494397092e-08,6.80292685342254e-06,-0.575920570526661,"DOWN"
"IQCA1",-245.618512820513,120.392093023256,-6.92585244219876,1.94236447357551e-08,6.95635985375204e-06,-0.584161815690708,"DOWN"
"LOC284232",-59.3555897435897,33.3260465116279,-6.92115250175103,1.97253608694169e-08,6.95635985375204e-06,-0.587101624576081,"DOWN"
"PER2",-102.197948717949,86.2837209302326,-6.89170510346532,2.17259354992239e-08,7.36588532936333e-06,-0.605563531787688,"DOWN"
"ZNF219",-1425.17435897436,1648,-6.88785813660643,2.20019214203361e-08,7.36588532936333e-06,-0.607980791755508,"DOWN"
"EDA2R",-19.9975384615385,13.4597674418605,-6.88780814255815,2.20055311373961e-08,7.36588532936333e-06,-0.608012213999287,"DOWN"
"MYH11",-664.746076923077,294.946744186046,-6.86206298558538,2.39457268890702e-08,7.88173600553747e-06,-0.624221649057935,"DOWN"
"EPS8L3",-24.6969230769231,45.846511627907,-6.85573875838108,2.44480617508857e-08,7.91516018882363e-06,-0.628212030143481,"DOWN"
"HIST2H2BE",2294.92307692308,2252.18604651163,6.83777505739848,2.59334073236854e-08,8.20510335383647e-06,-0.639564982191001,"UP"
"DYNLRB2",-131.921897435897,67.2306976744186,-6.83495633458385,2.61745663725605e-08,8.20510335383647e-06,-0.641348873637033,"DOWN"
"AMIGO2",-833.65058974359,487.46023255814,-6.81290451238803,2.81406443292934e-08,8.66220838424155e-06,-0.655328023188122,"DOWN"
"SCUBE2",-418.435846153846,165.041860465116,-6.80893517291006,2.85099774659831e-08,8.66220838424155e-06,-0.657848638056229,"DOWN"
"SP100",-521.351282051282,696.651162790698,-6.79770022622891,2.95819488935897e-08,8.78315172666003e-06,-0.664990276036765,"DOWN"
"MEG3",-39.2567948717949,17.51,-6.79549036059197,2.97975171242201e-08,8.78315172666003e-06,-0.666396258928854,"DOWN"
"HIST1H2BG",1426.07435897436,1290.92790697674,6.78150503894547,3.11988148227672e-08,9.06096167551218e-06,-0.67530369220308,"UP"
"LOC161527",-447.637179487179,506.848837209302,-6.76029829599989,3.34509493481658e-08,9.57424345908588e-06,-0.688841998000718,"DOWN"
"BMS1P5",-143.421794871795,190.476744186047,-6.74748012148061,3.48906402898116e-08,9.75653179229791e-06,-0.697043441539109,"DOWN"
"CSRP1",-113.688974358975,120.274418604651,-6.74586944683652,3.50758902857437e-08,9.75653179229791e-06,-0.698074976592872,"DOWN"
"E2F1",97.3146153846154,80.9393023255814,6.73512235982518,3.6337482468242e-08,9.96706862868487e-06,-0.70496339280507,"UP"
"FOXP1",-1094.03076923077,1272.95348837209,-6.69011961852629,4.21344225215833e-08,1.13295106952863e-05,-0.733913650739661,"DOWN"
"IL20RA",-532.764358974359,231.921627906977,-6.68783747340856,4.24519616917913e-08,1.13295106952863e-05,-0.735386285312476,"DOWN"
"HIST1H3B",217.723076923077,198.776744186046,6.68247067855164,4.32081966763606e-08,1.13775823488193e-05,-0.738851120699376,"UP"
