"","TNBC_1","TNBC_2","TNBC_3","TNBC_4","TNBC_5","TNBC_6","TNBC_7","TNBC_8","TNBC_9","TNBC_10","TNBC_11","TNBC_12","TNBC_13","TNBC_14","TNBC_15","TNBC_16","TNBC_17","TNBC_18","TNBC_19","TNBC_20","TNBC_21","TNBC_22","TNBC_23","TNBC_24","TNBC_25","TNBC_26","TNBC_27","TNBC_28","TNBC_29","TNBC_30","Normal_31","Normal_32","Normal_33","Normal_34","Normal_35","Normal_36","Normal_37","Normal_38","Normal_39","Normal_40","Normal_41","Normal_42","Normal_43"
"ACTB",0.0636069652115443,0.856684144838008,0.755007583347436,0.924468519165056,0.0568285277788395,0.517762273202767,-0.705745683400453,1.67009663676259,0.382193524548671,0.168672745418469,0.517762273202767,0.331355243803385,-0.0482372524280852,-0.607458340626233,0.517762273202767,0.822791957674484,1.16171382930973,0.687223209020388,1.9751263212343,1.46674351378144,0.721115396183912,0.416085711712195,-0.312596312303573,0.856684144838008,-0.980272399424998,-0.60406912190988,-0.88537427536713,0.653331021856864,-0.156692251351362,2.07680288272488,-1.06839208605016,-1.07855974219922,-1.58355333093573,-1.7631819229024,-1.41070317640175,-0.888763494083483,-0.475278810688489,-0.851482088203606,-1.10228427321368,-1.41070317640175,-1.51915817532503,-0.766751620294796,0.619438834693339
"TMEFF2",1.94567477077236,0.674975196626241,-0.595724377519876,-1.0289174141606,0.646095660850192,-0.249169948207299,0.415059374641808,0.212902624209471,1.05040916171487,1.88791569922026,-0.364688091311491,-0.0470131977749619,-0.0181336619989138,-0.335808555535443,0.674975196626241,1.57024080568373,0.530577517746,-0.884519735280357,-0.942278806832453,1.33920451947535,-0.855640199504309,1.36808405525139,-0.278049483983347,0.934891018610673,2.23447012853284,-1.54874905812946,-0.595724377519876,0.501697981969952,0.0396254095531823,0.241782159985519,-1.17331509304084,-1.49098998657737,-0.884519735280357,-1.60650812968156,-1.08667648571269,-1.31771277192108,0.963770554386721,0.0107458737771343,-0.451326698639635,-0.797881127952212,-0.884519735280357,0.0685049453292304,0.126264016881327
"TUBA1B",1.23721858006547,0.164894619473966,0.0773579696297618,-0.951197666039638,-0.021120761444968,-0.891016219271748,1.20439233637389,0.783122208998659,1.2919289862181,0.0773579696297618,-0.0539470051365446,0.914427183764965,0.815948452690235,-0.617464188508609,0.214133985011331,0.70652764038498,1.75696743851543,0.345438959777637,0.777651168383396,-0.415035685743887,1.87733033205121,1.2919289862181,0.92536926499549,1.42870500159966,0.394678325315002,0.0281186040923969,0.0390606853229225,0.722940762230768,-0.278259670362318,0.985550711763381,-1.00590807219227,-1.27398906234014,-1.48188860572013,-1.7937379207901,-1.30681530603172,-1.34511259033856,-0.601051066662821,-0.650290432200186,-1.28493114357067,-1.45453340264381,-1.31228634664698,-0.819892691273332,-0.502572335588091
"HSPE1",0.221317369248272,1.00539235252565,0.929514128337518,0.084736565709632,-0.623460193379613,-1.16472485925497,0.600708490188939,0.676586714377073,0.524830266000806,0.115087855384885,-0.400884069094422,0.732230745448371,1.35443218379106,0.671528166097864,-0.360415682860751,0.211200272689854,2.32567345339917,1.52136427700496,0.175790434735392,-0.577933258866733,0.084736565709632,0.868811548987011,1.31396379755739,0.605767038468148,1.72876475645252,-0.2744203621142,-0.628518741658822,0.170731886456183,-0.937090186690565,2.17897555330212,-0.846036317664805,-0.729689707243,-1.09390518334604,-1.03826115227474,-1.20519324548864,-1.01802695915791,-0.82074357626876,-1.10402227990446,-1.35492627455322,-1.37566632249798,-1.10908082818367,-0.947207283248983,-0.491937938120182
"COX6C",-0.402981161462235,0.795112421439578,0.216372300885313,-0.413134496910555,0.180835626816191,-0.941107940223218,-0.372521155117273,0.891569108198622,-0.174531113875024,0.135145617298749,-0.687274554015207,0.83572576323286,1.3281625324764,0.0793022723329867,-0.666967883118566,0.231602304057793,1.75460262130586,0.688502399232213,1.34339253564888,0.470205687093324,-0.0831510948401405,1.08448248171671,1.2773958552348,-0.738041231256809,3.38928962848545,-0.0222310821502178,-0.971567946568179,0.175758959092031,0.15545228819539,1.59214925413273,-0.75834790215345,-0.76342456987761,-1.04264129470642,-1.03756462698226,-1.14925131691379,-0.854804588912494,-0.727887895808489,-1.09848463967219,-1.12386797829299,-1.21372499701062,-1.06802463332722,-0.727887895808489,0.414362342127561
"STMN1",1.92979386262282,-0.666850609247969,0.732340823572912,-0.606683018123294,-0.62496924679844,-0.282249928725535,0.189652746762115,0.779531091121677,1.16885079839899,0.343021116295601,-0.594885451236103,-0.240958444620365,0.460996785167514,-0.754152604213184,-0.535897616800146,0.455098001723918,1.03907756263988,0.337122332852006,0.561276103708639,0.0834746447773938,1.91799629573563,-0.264553578394748,1.36351065203764,1.58766442289428,-0.541796400243742,1.38120700236843,1.26913011694011,-0.624379368454081,-0.627918638520238,2.55506490764396,-0.968868321560065,-0.944683309441323,-1.05558043818092,-1.13403425798074,-0.9216780540113,-1.1127986375838,-0.783056643086803,-1.03316506109526,-0.945863066130042,-1.09569216559737,-1.03729420950577,-0.834376059046085,0.0775758613337982
"SHFM1",-0.157921353403655,0.558446710806708,-0.113837164836863,-0.135879259120259,-0.0752634998409205,-0.516105385508836,-0.207516065541295,1.03786226147057,0.503341475098218,-0.02566878770328,-0.527126432650534,0.0624995894303031,1.83137765567281,0.0569890658594542,-0.488552767654591,0.685188752936234,3.44596106193155,2.22813535277394,0.508851998669067,-0.246089730537238,2.40998263061195,0.101073254426246,-0.290173919104029,0.519873045810765,-0.0642424526992226,-0.416915961233555,-0.708973710488549,-0.830205229047226,-0.306705489816576,1.47870414713848,-0.758568422626189,-0.697952663346851,-0.93986464810712,-0.940966752821289,-0.877595731756526,-0.849492061545197,-0.631826380496664,-0.866574684614829,-0.916169396752469,-0.981744627245572,-0.912312030252875,-0.697952663346851,-0.246089730537238
"ATP5H",0.149311493203495,-0.333001047281161,-0.25783545655628,-0.690037603224348,-0.339264846508235,-0.978172367669727,-0.282890653464573,0.305906473880332,1.01371578653963,1.03250718422085,-0.239044058875059,1.86559248142162,1.03877098344793,0.418654859967654,-0.0135472867004147,-0.282890653464573,1.49602832702429,0.763163817456694,0.268323678517891,0.775691415910841,1.6588871069282,1.8468010837404,-0.138823271241884,0.788219014364988,2.4606534079936,-0.195197464285545,-0.558497819455806,-1.00322756457802,-0.658718607088981,1.59624911465746,-1.02828276148631,-0.984436166896801,-1.27257093134218,-0.990699966123874,-1.04081035994046,-0.96564476921558,-0.464540831049704,-0.928061973853139,-1.26004333288803,-1.31641752593169,-0.96564476921558,-0.596080614818246,0.305906473880332
"SDF2L1",1.32921379668312,0.182263467938878,0.370126021784918,-0.391211696433244,0.152600959436872,-0.000655334490160613,-0.341774182263233,3.35120812623655,-0.588961753113286,-0.761993052708323,-0.717499289955313,0.117994699517865,0.0290071740118457,0.14271345660287,-0.717499289955313,2.30807657724933,0.335519761865911,0.256419739193894,0.42450728737193,1.41325757077214,-0.613680510198291,0.19215097077288,-0.376380442182241,2.68380168494141,0.300913501946904,-1.1050894010482,0.607426089800969,-0.198405391170203,0.0833884395988573,-0.0599803514941732,-0.697724284287309,-0.504917979024268,-1.05713501230329,-0.312111673761227,-0.976057489064468,-0.836149323963338,-0.84603682679734,-0.841093075380339,-0.79659931262733,-0.771880555542325,-1.01857375125068,-0.885586838133349,1.13640749142008
"ENY2",-0.307947964520173,0.667892719743324,-0.103548902275792,-0.215638710603356,-0.0442072390435521,-0.792571547583464,-0.281573891972511,1.59757877704841,0.9975686265891,-0.294760928246342,-0.729933125282766,0.601957538374169,0.661299201606409,-0.314541482657089,-0.715427385381552,0.628331610921831,1.86131950252503,0.826137155029297,0.80635660061855,0.931633445219945,1.45911489617319,0.595364020237253,1.19537417069657,-0.413444254710821,0.443713103088196,0.00854090605177203,-0.731911180723841,-0.182671119918778,-0.294760928246342,3.23936479314038,-0.97784940723079,-1.03653171864934,-1.15389634148643,-1.05235616217794,-1.03059755232611,-0.994333202573079,-0.807736639298369,-1.00224542433738,-1.08466440104882,-1.1018075482048,-1.08796116011728,-0.845319692678788,1.07669084423209
