"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","GO:0006260","DNA replication","105/2489","290/18860",0.362068965517241,2.74351976281847,11.6668629392035,1.22855265625337e-23,7.42660080705165e-20,6.47641231843884e-20,"898/8655/23560/5888/9837/5813/3060/4171/4172/64061/890/4173/9401/6418/4176/1877/80010/11169/580/84897/8914/1111/374393/58525/2237/51377/990/54108/55388/10535/5558/51514/8317/8099/5111/142/1660/63922/641/9156/4175/5984/86/54962/6240/29980/6596/7083/51008/6119/993/79733/10036/1602/4678/11124/56655/545/5931/23649/27000/26271/5985/57695/29844/64710/10721/5422/8208/9134/51426/55159/5591/25842/6282/1763/51659/150/91607/222229/157570/11177/5557/10361/27101/84515/348654/146956/9126/5428/10269/93973/144455/7528/5965/64785/11284/4174/80198/23244/8467/5429/10293/25939/81620",105
"GO:0007059","GO:0007059","chromosome segregation","136/2489","434/18860",0.313364055299539,2.3744660839491,11.2952938425208,2.57087122246849e-23,7.770458269911e-20,6.77627530638009e-20,"51203/11065/898/22974/891/7272/11339/29127/701/60/699/10051/11004/203068/64151/64105/3192/6732/1063/11130/259266/292/2908/3832/56992/4085/9055/81610/55355/1894/1062/55143/7153/29901/332/81930/79980/990/9319/57405/79677/1642/10615/83540/54892/51433/9928/146909/401541/9133/10097/5347/22919/51529/6790/10744/79643/2491/147841/3796/29128/4751/10096/86/9493/3833/10459/10460/23421/5901/11200/4342/9031/9232/5885/23636/127829/23397/144165/10286/9391/10403/29945/26271/6597/7283/2177/9787/51143/9134/286053/5977/55920/157313/23332/9918/1104/84057/3837/79019/81624/84722/29893/8239/1778/157570/24137/55055/23212/79080/128866/29117/7175/26054/348654/6601/25978/55839/23310/4288/140609/7756/57132/9126/991/8780/10592/55207/998/3619/81929/150465/79998/8467/5728/81620",136
"GO:0098813","GO:0098813","nuclear chromosome segregation","111/2489","323/18860",0.343653250773994,2.60397762539073,11.3374142764403,8.67788806968023e-23,1.67126071983801e-19,1.45743305645357e-19,"51203/11065/898/22974/891/7272/29127/701/60/699/10051/11004/64151/64105/3192/1063/11130/259266/3832/56992/4085/9055/81610/1894/1062/55143/7153/332/81930/79980/990/9319/57405/1642/10615/83540/54892/51433/9928/146909/9133/10097/5347/22919/51529/6790/10744/79643/2491/147841/3796/29128/4751/10096/86/9493/3833/10459/10460/5901/11200/4342/9031/9232/5885/23636/23397/144165/10403/29945/26271/6597/7283/2177/9787/51143/9134/286053/5977/55920/23332/9918/1104/84057/3837/84722/29893/1778/24137/55055/23212/128866/29117/7175/348654/6601/25978/23310/7756/57132/9126/991/10592/998/3619/81929/150465/79998/8467/5728/81620",111
"GO:0000819","GO:0000819","sister chromatid segregation","90/2489","233/18860",0.386266094420601,2.92686964273706,11.5396599739237,1.10587971536014e-22,1.67126071983801e-19,1.45743305645357e-19,"51203/11065/22974/891/7272/29127/701/60/699/10051/11004/64151/64105/3192/1063/11130/3832/56992/4085/9055/1062/55143/7153/332/81930/990/9319/57405/10615/83540/54892/51433/9928/146909/5347/22919/51529/79643/2491/147841/3796/29128/4751/86/9493/3833/10459/10460/5901/11200/4342/9031/5885/23636/23397/144165/10403/29945/26271/6597/7283/9787/51143/286053/5977/23332/9918/1104/3837/84722/24137/55055/23212/128866/29117/7175/348654/6601/25978/23310/7756/57132/9126/991/10592/3619/81929/79998/8467/81620",90
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","79/2489","192/18860",0.411458333333333,3.11775980982992,11.5003906976999,4.32483372764486e-22,5.22872397672263e-19,4.5597404859043e-19,"51203/11065/22974/891/7272/29127/701/699/10051/11004/64151/64105/3192/1063/11130/3832/56992/4085/9055/1062/55143/332/81930/9319/57405/10615/83540/54892/51433/9928/146909/5347/22919/51529/79643/2491/147841/3796/29128/4751/9493/3833/10459/5901/11200/9031/5885/23636/23397/144165/10403/26271/7283/9787/51143/286053/23332/9918/1104/3837/84722/24137/55055/23212/128866/7175/348654/25978/23310/7756/57132/9126/991/10592/3619/81929/79998/8467/81620",79
"GO:0033044","GO:0033044","regulation of chromosome organization","87/2489","244/18860",0.35655737704918,2.70175658141725,10.4323786390572,2.62105264107977e-19,2.64071053588787e-16,2.30284765377675e-16,"11065/891/7272/701/60/699/10051/8550/64151/3192/1063/11130/4085/1062/6950/55143/332/7874/2237/51377/990/9319/3181/57405/79677/4137/83540/54892/51433/142/5347/51529/3183/147841/4751/7203/3320/86/10576/10459/10460/5073/4342/9031/6421/5885/545/23397/10403/29945/908/4931/26271/6597/10575/29844/55226/9787/51143/286053/5977/10574/170506/23381/9918/1736/5514/55055/80119/29117/7175/26054/348654/6601/23310/140609/7756/991/10592/3184/5609/93973/7528/4000/3619/11284/8467",87
"GO:0140014","GO:0140014","mitotic nuclear division","94/2489","281/18860",0.334519572953737,2.53476864038066,10.1069259471348,1.36414099690972e-18,1.17803318947418e-15,1.02731099436449e-15,"1908/54443/51203/11065/22974/891/7272/29127/701/699/10051/11004/64151/64105/3192/5902/1063/8556/11130/3832/56992/4085/9055/1062/55143/332/1111/81930/9319/57405/10615/83540/54892/51433/9928/146909/5347/22919/51529/6790/79643/2491/8815/147841/3796/29128/4751/9493/3833/9088/10459/1613/5901/11200/9031/55968/5885/23636/23397/144165/10403/26271/7283/9787/51143/286053/157313/23332/9918/1104/3837/84722/24137/55055/23212/79080/128866/10361/7175/348654/25978/23310/4288/7756/57132/9126/991/10592/998/3619/81929/79998/8467/81620",94
"GO:0032543","GO:0032543","mitochondrial translation","56/2489","131/18860",0.427480916030534,3.23916837136837,10.0276525669286,5.81881516611547e-17,3.97152476116015e-14,3.46339227789649e-14,"90480/57129/64951/64981/9801/64960/56945/28998/85476/51649/64983/64928/10102/29093/6183/64432/65993/29074/55699/51253/51081/54948/28957/54148/65005/29088/63931/26589/7818/6472/11222/51258/118487/28977/51642/64968/51373/54460/65080/51021/51650/64979/55173/9617/22868/60488/64969/51264/708/54534/26024/122704/57038/55157/4528/7284",56
"GO:0000280","GO:0000280","nuclear division","126/2489","453/18860",0.278145695364238,2.10760458600624,9.30414595129257,5.9129400910573e-17,3.97152476116015e-14,3.46339227789649e-14,"1908/54443/51203/11065/898/22974/891/7272/1164/29127/701/699/10051/11004/8438/3297/5888/64151/64105/3192/5902/1063/8556/11130/259266/3832/56992/4085/9055/50511/1062/10635/55143/7153/80010/332/1111/81930/9319/57405/1642/10615/83540/54892/63979/51433/9928/146909/9133/10097/5347/22919/51529/6790/811/10744/79643/2491/8815/147841/3796/29128/4751/10096/9493/3833/9088/10459/1613/5901/2175/11200/25788/4342/9031/9232/55968/5885/23636/23397/144165/10403/26271/84930/7283/2177/9787/51143/9134/286053/157313/23332/9918/1104/84057/3837/84722/29893/5810/24137/55055/23212/79080/128866/10361/7175/5719/348654/25978/146956/23310/4288/7756/57132/9126/991/10592/998/3619/81929/80198/79998/8467/5728/81620/4488",126
"GO:0051052","GO:0051052","regulation of DNA metabolic process","132/2489","497/18860",0.265593561368209,2.01249279526092,8.91933535445243,6.12646681231627e-16,3.70344918804518e-13,3.22961534695578e-13,"3838/60/8655/23560/3297/5888/8550/3192/3060/4171/4172/64061/890/4173/6950/4176/7336/10635/580/8914/7874/1111/58525/51377/990/54108/3181/79677/8317/63979/5111/142/56943/1660/63922/10097/5347/641/118460/4175/5984/3183/4436/4751/7203/83443/3320/86/51010/10576/10459/54962/5073/993/83933/79733/6839/1602/7398/7027/11124/545/27000/7422/908/4931/26271/6597/6502/5985/10575/57695/29844/55226/64710/10721/6874/286053/5977/10574/1054/5591/9643/7037/170506/6282/23381/1387/1763/6944/2271/8505/8451/8089/91607/2956/1736/157570/50507/5514/80119/708/11177/6877/165918/10361/29117/2521/27101/150275/151987/7913/6601/140609/6778/9126/7335/3184/5609/10269/93973/144455/7528/4000/64110/11284/4174/55183/23244/8467/5429/81620",132
