"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","104/1405","268/9377",0.388059701492537,2.58991873373347,11.0858829554931,3.21530206515938e-22,1.10606391041483e-19,8.93515521265343e-20,"10376/84790/3800/5718/7280/203068/5690/55669/5701/292/10213/2773/1340/7332/54539/7386/7295/9377/1347/5714/6647/4700/1351/4694/4137/4712/4718/1346/1345/4706/5686/5688/4702/5683/1349/10381/4708/4709/293/7278/5710/4704/5708/27089/7846/5685/5707/5689/5695/4710/5687/7388/4725/5691/347733/4719/5700/2778/7317/1329/4715/7381/5693/55630/801/4722/805/3708/1965/4707/126328/7316/6391/5684/3799/9167/7416/4729/7494/7922/836/9817/283375/4720/84617/4728/5692/7311/51079/4695/4726/1649/5719/1327/9861/1350/3831/55334/5706/7417/5709/55967/91860/598",104
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","126/1405","368/9377",0.342391304347826,2.28512687606375,10.5583228706119,4.24517384292528e-21,7.30169900983149e-19,5.89855733964355e-19,"2066/10376/84790/3800/7802/5718/7280/60/203068/5690/5701/10213/29107/1340/54539/7386/9377/1347/5714/6647/596/4700/23435/1351/4694/3181/5608/4712/4718/4686/1346/1345/5216/4706/5686/5688/4702/5683/1349/10381/4708/81631/55746/4709/7278/5710/4704/5708/27089/7846/5685/5707/4218/5689/5695/4710/5687/7388/9631/4725/5691/79139/347733/4719/5700/9542/1329/5217/4715/7381/4842/23636/5693/2877/9972/9688/6396/10762/4722/2880/79902/1965/4707/126328/6391/5684/3799/57122/9001/9167/7416/4729/7494/10280/7415/23165/836/3084/23511/4720/84617/4728/5692/51079/4695/4726/2521/7175/1649/5719/1327/2876/25978/7132/9861/129401/1350/3831/5706/1767/5709/81929/55967/9217/29979/598",126
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","110/1405","308/9377",0.357142857142857,2.38357905439756,10.3648483558362,4.0453060336097e-20,4.63861758520578e-18,3.74723085218582e-18,"10376/84790/3800/7802/5718/7280/2893/203068/5690/5701/5440/5437/292/10213/841/1340/54539/7386/9377/1347/5714/6647/4700/1351/4694/4712/4718/246721/1346/1345/4706/5686/5688/4702/3066/5436/5439/5683/1349/10381/4708/4709/1173/293/7278/5710/4704/5708/27089/7846/5685/5707/1213/5689/5695/4710/5687/7388/5435/4725/5691/347733/4719/5700/1329/4715/7381/5438/5693/2877/4722/2880/9519/3708/4707/126328/27113/6874/6391/5433/5684/3799/9001/9167/7416/4729/5431/1387/836/4720/84617/4728/5692/51079/4695/4726/5719/7019/1327/2876/9861/1350/3831/5706/7417/1767/5609/5709/55967/3065",110
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","67/1405","158/9377",0.424050632911392,2.83012297851255,9.73935567700972,4.96690710639167e-17,4.27154011149684e-15,3.45069335812474e-15,"1869/898/891/7272/113130/701/699/4171/8556/4172/890/4173/4085/7533/4176/1111/990/9319/1871/8317/7534/51433/5111/9133/5933/5347/3066/51529/4175/10744/1019/10971/7532/9088/10459/7529/2932/9978/11200/993/1029/9232/7027/5885/545/10403/29945/1032/26271/6502/2810/9134/1031/5591/1387/8454/157570/5515/1875/9126/991/5525/4174/23244/3065/81620/1022",67
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","120/1405","388/9377",0.309278350515464,2.0641303151484,8.98707372998938,3.36838543900764e-16,2.31744918203726e-14,1.87211317031161e-14,"10376/84790/3800/5718/7280/203068/4311/5690/5701/292/10213/3667/841/1340/54539/7386/9377/1347/5714/3028/4700/1351/4694/4137/775/2597/776/4712/4718/1346/1345/4706/5686/5688/4702/5683/1349/10381/4708/4709/293/7278/5710/4704/5708/2932/27089/7846/5685/5707/5689/5695/4710/5687/1128/7388/5295/4725/5691/10297/347733/4719/5700/1329/4715/7381/4842/5693/55630/801/4722/805/3708/1965/4707/126328/6391/5684/3799/3845/9167/7416/4729/8503/25825/7494/1460/488/7922/836/283375/1452/4720/84617/50507/4728/5692/51079/4695/4726/8772/1649/5719/4893/1327/1133/8323/7132/9861/1350/3831/823/55334/5706/7417/5609/5709/55967/91860/5604",120
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","94/1405","275/9377",0.341818181818182,2.28130184406341,9.05342063861265,6.41497799880314e-16,3.6779207193138e-14,2.97114770470882e-14,"10376/84790/3800/5718/7280/203068/5690/5701/292/10213/3312/1340/54539/7386/9377/1347/5714/6647/1388/4700/1351/4694/775/776/4712/4718/1346/1345/4706/5686/5688/4702/5683/1349/10381/4708/4709/293/7278/5710/4704/5708/2932/27089/7846/5685/5707/5689/5695/4710/5687/7388/5295/4725/5691/347733/4719/5700/1329/4715/7381/5693/4722/3708/1965/4707/126328/6391/5684/3799/9167/7416/4729/8503/1460/836/4720/84617/4728/5692/51079/4695/4726/1649/5719/10963/1327/9861/1350/3831/5706/7417/5709/55967",94
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","137/1405","480/9377",0.285416666666667,1.90487692763938,8.54381143299449,3.71425571373426e-15,1.82529137932084e-13,1.47453159161781e-13,"10376/84790/3800/7802/5718/7280/2893/203068/5690/55669/5701/292/10213/841/1340/7332/54539/7386/9377/1347/5714/3028/6647/596/4700/23435/1351/4694/5608/4137/775/776/4712/4718/1346/1345/4706/5686/5688/578/4702/5683/1349/10381/4708/81631/4709/293/7278/5710/4704/5708/2932/27089/7846/5685/5707/4218/5689/5695/4710/5687/1128/7388/4725/5691/10297/79139/347733/4719/5700/7317/1329/4715/7381/4842/5693/7222/2877/801/4722/2880/805/3708/1965/4707/126328/7316/6391/5684/3799/9001/3845/9167/7416/4729/7494/1460/10280/488/7415/836/1452/4720/84617/50507/4728/5692/7311/51079/4695/4726/8772/2521/1649/5719/4893/1327/1133/8323/2876/25978/7132/9861/1350/3831/823/5706/7417/1767/5609/5709/55967/9217/91860/5604/598",137
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","59/1405","157/9377",0.375796178343949,2.5080717183852,7.99962589603332,2.088321928617e-12,8.97978429305312e-11,7.25417090993275e-11,"3667/841/1340/54539/7386/9377/1347/4700/1351/83737/4694/4712/4718/1346/1345/4706/4702/1349/4708/51094/4709/4704/2932/27089/4710/7388/5295/4725/4719/1329/4715/7381/4722/9021/1965/4707/126328/6391/9167/4729/8503/7494/3953/836/2931/2353/4720/4728/51422/51079/4695/4726/1649/1327/7132/1350/6720/998/55967",59
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","26/1405","46/9377",0.565217391304348,3.77227293826396,7.91250729011357,7.94932973310020e-11,3.03841047576274e-09,2.45452988250112e-09,"5718/5690/5701/10213/51371/5714/5686/5688/5683/5710/5708/5685/5707/5689/5695/5687/5691/5700/5693/5684/5721/5692/5719/9861/5706/5709",26
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","51/1405","138/9377",0.369565217391304,2.46648615194182,7.28565064280134,1.34904414822408e-10,4.64071186989084e-09,3.74892268559113e-09,"1340/54539/7386/10063/9377/1347/4700/1351/4694/4712/4718/1346/1345/4706/525/4702/533/1349/527/4708/4709/4704/27089/4710/7388/4725/4719/1329/4715/7381/4722/8992/4707/126328/6391/9167/4729/9296/245973/4720/4728/51079/4695/4726/523/1327/1350/534/55967/9114/537",51
