"Gene","AUC"
"KLHL13",0.994871794871795
"CORIN",0.987179487179487
"PIK3C2G",0.982051282051282
"KLK14",0.982051282051282
"PAR5",0.97948717948718
"LOC442245",0.979487179487179
"STC2",0.976923076923077
"CCL28",0.976923076923077
"LOC728264",0.976923076923077
"GSTM2",0.974358974358974
"CX3CR1",0.971794871794872
"FLJ11292",0.967948717948718
"DST",0.966666666666667
"ABCA5",0.964102564102564
"PI15",0.964102564102564
"HOXA4",0.961538461538462
"NTN4",0.961538461538462
"DMD",0.958974358974359
"LOC100128979",0.958974358974359
"AK5",0.958974358974359
"CBX7",0.956410256410256
"C4orf18",0.948717948717949
"GRAMD3",0.943589743589744
"TP63",0.943589743589744
"CYP1A2",0.943589743589744
"ARHGAP19",0.941025641025641
"HEMK1",0.938461538461538
"C5orf26",0.938461538461538
"EDN3",0.935897435897436
"ANKRD30A",0.933333333333333
"ZBTB4",0.933333333333333
"PDGFA",0.930769230769231
"FAM47C",0.928205128205128
"FAM47E",0.925641025641026
"SPARCL1",0.925641025641026
"FAM13B1",0.925641025641026
"ERBB4",0.921794871794872
"TSHZ2",0.917948717948718
"GPRASP1",0.915384615384615
"DKK3",0.907692307692308
"CMYA5",0.902564102564103
"RAI2",0.902564102564103
"UBE2C",0.0435897435897436
"TUBA1B",0.0256410256410256
"HIST1H2BE",0.0205128205128205
"NUSAP1",0.017948717948718
"CBX3",0.0153846153846154
"ASF1B",0.0153846153846154
"ANLN",0.0128205128205128
"TUBA1C",0.0128205128205128
